"PreSens Measurement Studio 2","2.1.0.383",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"11/29/2017","16:08:42","1","default","834843322","OXY1","0.000","min","153.528","μmol/L","Humid","22.459","deg","92118","µV","33.533","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338434.82","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:43","1","default","834843322","OXY1","0.019","min","153.593","μmol/L","Humid","22.454","deg","92086","µV","33.533","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338393.36","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:44","1","default","834843322","OXY1","0.036","min","153.579","μmol/L","Humid","22.456","deg","92096","µV","33.531","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338358.88","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:45","1","default","834843322","OXY1","0.053","min","153.618","μmol/L","Humid","22.453","deg","92080","µV","33.531","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338334.80","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:46","1","default","834843322","OXY1","0.070","min","153.668","μmol/L","Humid","22.451","deg","92074","µV","33.527","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338323.35","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:47","1","default","834843322","OXY1","0.086","min","153.592","μmol/L","Humid","22.456","deg","92065","µV","33.528","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338302.23","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:48","1","default","834843322","OXY1","0.103","min","153.556","μmol/L","Humid","22.457","deg","92062","µV","33.533","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338292.53","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:49","1","default","834843322","OXY1","0.119","min","153.699","μmol/L","Humid","22.453","deg","92054","µV","33.516","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338288.94","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:50","1","default","834843322","OXY1","0.136","min","153.597","μmol/L","Humid","22.457","deg","92056","µV","33.525","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338292.23","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:51","1","default","834843322","OXY1","0.153","min","153.594","μmol/L","Humid","22.459","deg","92052","µV","33.520","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338292.05","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:52","1","default","834843322","OXY1","0.169","min","153.595","μmol/L","Humid","22.458","deg","92046","µV","33.523","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338269.88","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:53","1","default","834843322","OXY1","0.186","min","153.594","μmol/L","Humid","22.458","deg","92039","µV","33.523","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338275.66","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:54","1","default","834843322","OXY1","0.203","min","153.660","μmol/L","Humid","22.458","deg","92037","µV","33.510","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338275.11","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:55","1","default","834843322","OXY1","0.220","min","153.599","μmol/L","Humid","22.456","deg","92034","µV","33.527","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338267.89","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
"11/29/2017","16:08:56","1","default","834843322","OXY1","0.236","min","153.554","μmol/L","Humid","22.460","deg","92028","µV","33.526","°C","1010.000","hPa","35.0","pmil","0","55.500","deg","20.000","°C","100.000","%a.s.","22.500","deg","20.000","°C","1013.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","24.85","0","70.00","338257.55","SABD0000000001","AAV1.0.0.11","2.1.0.383","PSt7-10","000000-000","11/28/2017 2:41:14 PM","0000-00","0","no battery","V"
